SCH_DEP_DATE,cargo_diff
2020-12-25,295090.98699999973
2020-12-26,586715.2869999995
2020-12-27,-1085362.5529999994
2020-12-28,-985926.3470000001
2020-12-29,742112.3760000002
2020-12-30,555774.602
2020-12-31,-867413.4560000002
2021-01-01,219873.86500000022
2021-01-02,170810.9709999999
2021-01-03,260120.3509999998
2021-01-04,-1978000.0749999997
2021-01-05,1279185.917
2021-01-06,986760.1349999998
2021-01-07,-865597.6500000004
2021-01-08,1307733.5500000007
2021-01-09,-55217.1230000006
2021-01-10,-538327.9389999993
2021-01-11,-1130039.4690000005
2021-01-12,-158700.1749999998
2021-01-13,1717313.659
2021-01-14,-93341.18699999992
2021-01-15,318437.76499999966
2021-01-16,458176.392
2021-01-17,-482973.2069999995
2021-01-18,-1510677.5930000003
2021-01-19,202222.28500000015
2021-01-20,1347013.4390000002
2021-01-21,-438736.50400000066
2021-01-22,485682.8110000007
2021-01-23,551611.7909999993
2021-01-24,20886.891999999993
2021-01-25,-1658575.7489999998
2021-01-26,291325.21999999974
2021-01-27,1115546.5440000007
2021-01-28,-434020.27600000054
2021-01-29,233966.51600000076
2021-01-30,609858.9869999997
2021-01-31,-147568.2240000004
2021-02-01,-1744653.9249999998
2021-02-02,218749.0669999998
2021-02-03,1107425.0700000003
2021-02-04,-12470.88599999994
2021-02-05,801322.9629999995
2021-02-06,184507.29300000053
2021-02-07,-543377.4589999998
2021-02-08,-1240699.2640000004
2021-02-09,-207463.2070000004
2021-02-10,1210302.4120000005
2021-02-11,-496261.4350000005
2021-02-12,342969.2570000002
2021-02-13,-454606.8669999996
2021-02-14,206970.70600000024
2021-02-15,-1599820.1280000005
2021-02-16,347136.00600000005
2021-02-17,1258548.17
2021-02-18,-1016091.0559999999
2021-02-19,1065786.011
2021-02-20,130262.60900000017
2021-02-21,-61109.51699999999
2021-02-22,-1788779.216
2021-02-23,491137.3549999995
2021-02-24,1392208.7200000007
2021-02-25,-310895.5240000002
2021-02-26,194929.59499999974
2021-02-27,461899.9280000003
2021-02-28,-185632.60500000045
2021-03-01,-1338298.2289999994
2021-03-02,508539.983
2021-03-03,804996.4049999993
2021-03-04,-119760.66999999993
2021-03-05,233708.69400000013
2021-03-06,1273137.3339999998
2021-03-07,-540258.7609999999
2021-03-08,-1904239.6679999996
2021-03-09,359124.73699999973
2021-03-10,978164.8840000005
2021-03-11,-133618.65000000037
2021-03-12,250035.01099999994
2021-03-13,675870.3540000003
2021-03-14,-617223.869
2021-03-15,-1316480.6610000003
2021-03-16,454441.84300000034
2021-03-17,782785.1779999994
2021-03-18,-81602.27300000004
2021-03-19,-204617.0839999998
2021-03-20,1247448.6979999999
2021-03-21,-453888.05399999954
2021-03-22,-1852698.295
2021-03-23,646651.7450000001
2021-03-24,495778.5429999996
2021-03-25,404406.4690000005
2021-03-26,-32747.240000000224
2021-03-27,818256.5389999999
2021-03-28,-806814.2340000002
2021-03-29,-1195139.6780000003
2021-03-30,275441.0600000005
2021-03-31,852649.2970000003
2021-04-01,-179197.2940000007
2021-04-02,162550.78399999999
2021-04-03,34045.03800000064
2021-04-04,-140429.05500000063
2021-04-05,-1640928.7359999996
2021-04-06,280222.8710000003
2021-04-07,765896.2969999993
2021-04-08,333513.4070000006
2021-04-09,134445.33799999952
2021-04-10,499830.8200000003
2021-04-11,-470763.81799999997
2021-04-12,-1292304.5690000001
2021-04-13,521572.8379999995
2021-04-14,413451.3280000007
2021-04-15,109986.70000000019
2021-04-16,159013.0789999999
2021-04-17,323596.4559999993
2021-04-18,-77209.43800000008
2021-04-19,-1476653.3209999995
2021-04-20,256219.54499999993
2021-04-21,1120808.3820000002
2021-04-22,312563.7189999996
2021-04-23,17095.27400000021
2021-04-24,40505.61699999962
2021-04-25,-47550.69299999997
2021-04-26,-1459690.813
2021-04-27,193825.11400000006
2021-04-28,638829.159
2021-04-29,739674.0870000003
2021-04-30,-618662.8930000002
2021-05-01,713730.8190000001
2021-05-02,-596739.7740000002
2021-05-03,-1408766.2769999998
2021-05-04,327668.0669999998
2021-05-05,376231.03800000064
2021-05-06,828951.3420000002
2021-05-07,-278812.75000000093
2021-05-08,719284.608
2021-05-09,-826829.7609999999
2021-05-10,-1581300.994
2021-05-11,829389.9760000007
2021-05-12,315867.77799999993
2021-05-13,104661.76499999966
2021-05-14,-312696.92399999965
2021-05-15,298942.72699999996
2021-05-16,19915.481999999844
2021-05-17,-1403941.045
2021-05-18,659107.3829999994
2021-05-19,581177.4240000006
2021-05-20,-398300.35500000045
2021-05-21,465949.17200000025
2021-05-22,357405.9079999998
2021-05-23,-394119.84800000023
2021-05-24,-1132898.4119999995
2021-05-25,668611.5949999997
2021-05-26,274064.34700000007
2021-05-27,259565.61899999995
2021-05-28,-65087.98699999973
2021-05-29,364217.92399999965
2021-05-30,87933.12100000028
2021-05-31,-1343523.1919999998
2021-06-01,184889.74099999946
2021-06-02,965141.1740000006
2021-06-03,-280068.60000000056
2021-06-04,301652.43099999987
2021-06-05,668036.4280000003
2021-06-06,-740784.1140000001
2021-06-07,-1303278.6109999996
2021-06-08,473686.7759999996
2021-06-09,354304.534
2021-06-10,662037.3870000001
2021-06-11,-514432.73699999973
2021-06-12,914892.3530000001
2021-06-13,-370487.77100000065
2021-06-14,-1851689.6069999998
2021-06-15,807331.4050000003
2021-06-16,677780.3269999996
2021-06-17,182123.48000000045
2021-06-18,-4464.417000000365
2021-06-19,286779.2949999999
2021-06-20,260572.23500000034
2021-06-21,-1677617.8200000003
2021-06-22,511901.97000000067
2021-06-23,788913.5159999998
2021-06-24,64436.48400000017
2021-06-25,-236931.71300000045
